basisOfRecord,scientificName,taxonRank,countryCode,occurrenceID,catalogNumber,genus,specificEpithet,country,year,eventDate,locality,recordedBy,infraspecificEpithet,decimalLatitude,decimalLongitude,geodeticDatum,setID,verbatimEventDate,typeStatus,stateProvince,identifiedBy,dateIdentified,continent,identifier,month,day,county,modified,recordNumber,habitat,eventRemarks,coordinateUncertaintyInMeters,identificationRemarks,verbatimElevation,otherCatalogNumbers,collectionID,rightsHolder,verbatimLocality,datasetID,verbatimCoordinates,scientificNameAuthorship,kingdom,phylum,order,family,class,collectionCode,nomenclaturalCode,higherClassification,verbatimTaxonRank,institutionCode,occurrenceRemarks,higherGeography,municipality,georeferenceProtocol,fieldNumber,locationRemarks,islandGroup,island,taxonRemarks,identificationQualifier,startDayOfYear,sex,preparations,type,datasetName,informationWithheld,elevation,elevationAccuracy,fieldNotes,institutionID,taxonomicStatus,acceptedNameUsage,references,eventID,taxonID,locationID,identificationID,vernacularName,verbatimCoordinateSystem,ownerInstitutionCode,samplingProtocol,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,eventTime,endDayOfYear,occurrenceDetails,coordinatePrecision,waterBody,identificationVerificationStatus,identificationReferences,canonicalName,organismRemarks,establishmentMeans,relationshipRemarks,measurementRemarks,verbatimRecordedBy,verbatimLongitude,verbatimLatitude,georeferenceRemarks,language,languageRemarks,persistentID,jpegURL,tiffURL,jsonURL,pngSegAllURL,pngSegSelURL,DOI,jpegURL2,tiffURL2
PRESERVED_SPECIMEN,Abelia forrestii (Diels) W.W.Sm.,SPECIES,CN,http://data.rbge.org.uk/herb/E00633257,E00633257,Abelia,forrestii,China,,,,,,,,,E,,,,,,,http://data.rbge.org.uk/herb/E00633257,,,,2013-01-08,,,,,,,BGBASE:645427,http://biocol.org/urn:lsid:biocol.org:col:15670,,,,,,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Magnoliopsida,E,ICBN,,,E,,"Inner China, Korea and Taiwan",,,,,,,,,,,herbarium specimen of unspecified type,PhysicalObject,Royal Botanic Garden Edinburgh Herbarium,,,,,,,,,,,,,,degrees minutes seconds,E,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.rbge.org.uk/herb/E00633257,https://zenodo.org/record/1484146/files/E00633257.jpg,https://zenodo.org/record/1484146/files/E00633257.tif,https://zenodo.org/record/1484146/files/E00633257.json,,,http://dx.doi.org/10.5281/zenodo.1484146,,
PRESERVED_SPECIMEN,Abelia R.Br.,GENUS,CN,http://data.rbge.org.uk/herb/E00289691,E00289691,Abelia,,China,2006,2006-05-29,"Danzha Cun. In the vicinity of Zhaobitan forest farm, ca. 26.5 direct km NNW of Houqiao (Guyong).",Gaoligong Shan Biotic Survey Expedition - Summer 2006,,25.543333,98.222222,WGS84,E,2006-05-29,,Yunnan,,,,http://data.rbge.org.uk/herb/E00289691,5,29,Tengchong,2008-11-05,30809,,,,,2630 M,BGBASE:299189,http://biocol.org/urn:lsid:biocol.org:col:15670,,,,,,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Magnoliopsida,E,ICBN,,,E,felling,"Inner China, Korea and Taiwan",,,,,,,,,149,,herbarium specimen of unspecified type,PhysicalObject,Royal Botanic Garden Edinburgh Herbarium,,2630,0,Shrub less than 1.5 m tall. Flowers whitish yellow. Forest dominated by Lithocarpus. Growing in forest in shade.,,,,,,,,,,degrees minutes seconds,E,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.rbge.org.uk/herb/E00289691,https://zenodo.org/record/1483921/files/E00289691.jpg,https://zenodo.org/record/1483921/files/E00289691.tif,https://zenodo.org/record/1483921/files/E00289691.json,,,http://dx.doi.org/10.5281/zenodo.1483921,,
PRESERVED_SPECIMEN,Abelia uniflora R.Br.,SPECIES,CN,http://data.rbge.org.uk/herb/E00065282,E00065282,Abelia,uniflora,China,,,,"Maire, E.E.",,,,,E,,,,,,,http://data.rbge.org.uk/herb/E00065282,,,,1998-07-14,,,,,,,BGBASE:70338,http://biocol.org/urn:lsid:biocol.org:col:15670,,,,,,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Magnoliopsida,E,ICBN,,,E,,"Inner China, Korea and Taiwan",,,,,,,,,,,herbarium specimen of unspecified type,PhysicalObject,Royal Botanic Garden Edinburgh Herbarium,,,,,,,,,,,,,,degrees minutes seconds,E,,,,,,,,,,,,,,,,,,,,,,,,,fra,,http://data.rbge.org.uk/herb/E00065282,https://zenodo.org/record/1483641/files/E00065282.jpg,https://zenodo.org/record/1483641/files/E00065282.tif,https://zenodo.org/record/1483641/files/E00065282.json,,,http://dx.doi.org/10.5281/zenodo.1483641,,
PRESERVED_SPECIMEN,Abies grandis Lindl.,SPECIES,BE,http://www.botanicalcollections.be/specimen/BR0000012558803,BR0000012558803,Abies,grandis,Belgium,2009,2009-03-29,"Torhout, Groenhovebos, IFBL D1.18.32",Verloove F.,,,,,BR,29.03.2009,,,,,,http://www.botanicalcollections.be/specimen/BR0000012558803,3,29,,2011-07-15,7527,,,,,,,,Meise Botanic Garden,,,,,Plantae,Tracheophyta,Pinales,Pinaceae,Pinopsida,,ICBN,,,BR,,,,,,,,,,,,,HerbariumSheet,PhysicalObject,,,,,,http://biocol.org/urn:lsid:biocol.org:col:15605,accepted name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nld,,http://www.botanicalcollections.be/specimen/BR0000012558803,https://zenodo.org/record/1483174/files/BR0000012558803.jpg,https://zenodo.org/record/1483174/files/BR0000012558803.tif,https://zenodo.org/record/1483174/files/BR0000012558803.json,,,http://dx.doi.org/10.5281/zenodo.1483174,,
PRESERVED_SPECIMEN,Abolboda acaulis var. acaulis,VARIETY,GY,http://specimens.kew.org/herbarium/K000587145,K000587145,Abolboda,acaulis,Guyana,1944,1944-04-30,Plants of the Kaieteur Plateau,"Maguire, B.; Fanshawe, D.B.",acaulis,,,,K,,ISOTYPE,,"Kral, R.",,,K000587145,4,30,,2009-04-28,23096,in white sand from conglomerate and sandstone,"Locally frequent; perennial tufted herb 2--3 cm. high; rootstck fleshy; 1--2 flowered, flowers pale blue;",,,,,,,,,,,Plantae,Tracheophyta,Poales,Xyridaceae,Liliopsida,Herbarium,,XYRIDACEAE,,K,,,,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://specimens.kew.org/herbarium/K000587145,https://zenodo.org/record/1485914/files/K000587145.jpg,https://zenodo.org/record/1485914/files/K000587145.tif,https://zenodo.org/record/1485914/files/K000587145.json,,,http://dx.doi.org/10.5281/zenodo.1485914,,
PRESERVED_SPECIMEN,Acacia intricata S.Moore,SPECIES,AU,333757c3-081a-478e-803d-6b2674a42754,BM000796649,Acacia,intricata,Australia,1916,1916-01-01,,Frederick Stoward,,,,,BM,,HOLOTYPE,Western Australia,B R. Maslin,,OCEANIA,4989714,,,,2017-10-19,756,,,,,,NHMUK:ecatalogue:4989714,,,,,,,Plantae,Tracheophyta,Fabales,Fabaceae,Magnoliopsida,BOT,,Leguminosae,,NHMUK,,Australia; Australia; Western Australia,,,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.nhm.ac.uk/object/333757c3-081a-478e-803d-6b2674a42754,https://zenodo.org/record/1480332/files/BM000796649.jpg,https://zenodo.org/record/1480332/files/BM000796649.tif,https://zenodo.org/record/1480332/files/BM000796649.json,https://zenodo.org/record/1480332/files/BM000796649_all.png,https://zenodo.org/record/1480332/files/BM000796649_sel.png,http://dx.doi.org/10.5281/zenodo.1480332,,
PRESERVED_SPECIMEN,Acacia johannis Pedley,SPECIES,AU,http://specimens.kew.org/herbarium/K000821274,K000821274,Acacia,johannis,Australia,1990,1990-04-13,Cook District; Mount Mulligan,"Clarkson, J.R.",,-16.9,144.85,WGS84,K,,ISOTYPE,,,,,K000821274,4,13,,2012-05-02,8217,Along small stream on southern end of the mountain.,"A shrub 3m tall. Bark smooth, dark grey. Flowers yellow.",0.2,,,,,,,,,,Plantae,Tracheophyta,Fabales,Fabaceae,Magnoliopsida,Herbarium,,LEGUMINOSAE-MIMOSOIDEAE,,K,,,,label,,,,,,,,,,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://specimens.kew.org/herbarium/K000821274,https://zenodo.org/record/1486008/files/K000821274.jpg,https://zenodo.org/record/1486008/files/K000821274.tif,https://zenodo.org/record/1486008/files/K000821274.json,https://zenodo.org/record/1486008/files/K000821274_all.png,https://zenodo.org/record/1486008/files/K000821274_sel.png,http://dx.doi.org/10.5281/zenodo.1486008,,
PRESERVED_SPECIMEN,Acaena pinnatifida Ruiz & Pav.,SPECIES,CL,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01819267,P01819267,Acaena,pinnatifida,Chile,,,,Dombey,,,,,P,,SYNTYPE,,,,,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01819267,,,,2015-11-06,,,,,,,,,,in arenosis Chili,,,,Plantae,Tracheophyta,Rosales,Rosaceae,Magnoliopsida,P,,,,MNHN,,,,,,,,,,,,,hb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lat,,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01819267,https://zenodo.org/record/1487238/files/P01819267.jpg,,https://zenodo.org/record/1487238/files/P01819267.json,,,http://dx.doi.org/10.5281/zenodo.1487238,,
PRESERVED_SPECIMEN,Acalypha lanceolata Willd.,SPECIES,ID,http://data.biodiversitydata.nl/naturalis/specimen/L.2180891,L.2180891,Acalypha,lanceolata,Indonesia,1949,1949-12-08,Bogor Botanical Garden,Kern JH,,,,,L,1949/12/08,,Java,,,ASIA,L.2180891,12,8,,,,,,,,,,,,,,,,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Magnoliopsida,Botany,ICN,Plantae|Magnoliopsidae|Malpighiales|Euphorbiaceae,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.biodiversitydata.nl/naturalis/specimen/L.2180891,https://zenodo.org/record/1486896/files/L.2180891.jpg,,https://zenodo.org/record/1486896/files/L.2180891.json,https://zenodo.org/record/1486896/files/L.2180891_all.png,https://zenodo.org/record/1486896/files/L.2180891_sel.png,http://dx.doi.org/10.5281/zenodo.1486896,,
PRESERVED_SPECIMEN,Acalypha monostachya Cav.,SPECIES,US,http://www.botanicalcollections.be/specimen/BR0000013309459,BR0000013309459,Acalypha,monostachya,United States,,,S.L.,Lindheimer F.J.,,,,,BR,S.D.,,,,,,http://www.botanicalcollections.be/specimen/BR0000013309459,,,,2012-10-02,690,,,,,,,,Meise Botanic Garden,,,,,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Magnoliopsida,,ICBN,,,BR,,,,,,,,,,,,,HerbariumSheet,PhysicalObject,,,,,,http://biocol.org/urn:lsid:biocol.org:col:15605,accepted name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,und,ZZ - translingual,http://www.botanicalcollections.be/specimen/BR0000013309459,https://zenodo.org/record/1483274/files/BR0000013309459.jpg,https://zenodo.org/record/1483274/files/BR0000013309459.tif,https://zenodo.org/record/1483274/files/BR0000013309459.json,,,http://dx.doi.org/10.5281/zenodo.1483274,,
